pair_index	right_chr	right_start	right_end	left_chr	left_start	left_end	right_samples_amped	right_samples_non_amped	left_samples_amped	left_samples_non_amped	right_AmpFreq	left_AmpFreq	Fisher_pval	qval
1	chr11	69680001	69690000	chr11	69640001	69650000	30	0	30	0	1	1	1	1
2	chr11	69690001	69700000	chr11	69630001	69640000	30	0	30	0	1	1	1	1
3	chr11	69700001	69710000	chr11	69620001	69630000	30	0	30	0	1	1	1	1
4	chr11	69710001	69720000	chr11	69610001	69620000	30	0	29	1	1	0.966666666666667	1	1
5	chr11	69720001	69730000	chr11	69600001	69610000	30	0	29	1	1	0.966666666666667	1	1
6	chr11	69730001	69740000	chr11	69590001	69600000	29	1	29	1	0.966666666666667	0.966666666666667	1	1
7	chr11	69740001	69750000	chr11	69580001	69590000	28	2	29	1	0.933333333333333	0.966666666666667	1	1
8	chr11	69750001	69760000	chr11	69570001	69580000	28	2	29	1	0.933333333333333	0.966666666666667	1	1
9	chr11	69760001	69770000	chr11	69560001	69570000	28	2	29	1	0.933333333333333	0.966666666666667	1	1
10	chr11	69770001	69780000	chr11	69550001	69560000	28	2	29	1	0.933333333333333	0.966666666666667	1	1
11	chr11	69780001	69790000	chr11	69540001	69550000	28	2	29	1	0.933333333333333	0.966666666666667	1	1
12	chr11	69790001	69800000	chr11	69530001	69540000	28	2	29	1	0.933333333333333	0.966666666666667	1	1
13	chr11	69800001	69810000	chr11	69520001	69530000	28	2	29	1	0.933333333333333	0.966666666666667	1	1
14	chr11	69810001	69820000	chr11	69510001	69520000	28	2	29	1	0.933333333333333	0.966666666666667	1	1
15	chr11	69820001	69830000	chr11	69500001	69510000	28	2	29	1	0.933333333333333	0.966666666666667	1	1
16	chr11	69830001	69840000	chr11	69490001	69500000	28	2	29	1	0.933333333333333	0.966666666666667	1	1
17	chr11	69840001	69850000	chr11	69480001	69490000	28	2	29	1	0.933333333333333	0.966666666666667	1	1
18	chr11	69850001	69860000	chr11	69470001	69480000	28	2	29	1	0.933333333333333	0.966666666666667	1	1
19	chr11	69860001	69870000	chr11	69460001	69470000	28	2	29	1	0.933333333333333	0.966666666666667	1	1
20	chr11	69870001	69880000	chr11	69450001	69460000	28	2	29	1	0.933333333333333	0.966666666666667	1	1
21	chr11	69880001	69890000	chr11	69440001	69450000	28	2	28	2	0.933333333333333	0.933333333333333	1	1
22	chr11	69890001	69900000	chr11	69430001	69440000	28	2	28	2	0.933333333333333	0.933333333333333	1	1
23	chr11	69900001	69910000	chr11	69420001	69430000	28	2	28	2	0.933333333333333	0.933333333333333	1	1
24	chr11	69910001	69920000	chr11	69410001	69420000	28	2	28	2	0.933333333333333	0.933333333333333	1	1
25	chr11	69920001	69930000	chr11	69400001	69410000	28	2	27	3	0.933333333333333	0.9	1	1
26	chr11	69930001	69940000	chr11	69390001	69400000	7	23	27	3	0.233333333333333	0.9	0.000000244052382227138	0.0000185479810492625
27	chr11	69940001	69950000	chr11	69380001	69390000	28	2	27	3	0.933333333333333	0.9	1	1
