pair_index	right_chr	right_start	right_end	left_chr	left_start	left_end	right_samples_amped	right_samples_non_amped	left_samples_amped	left_samples_non_amped	right_AmpFreq	left_AmpFreq	Fisher_pval	qval
1	chr11	69680001	69690000	chr11	69640001	69650000	87	1	86	2	0.988636363636364	0.977272727272727	1	1
2	chr11	69690001	69700000	chr11	69630001	69640000	86	2	85	3	0.977272727272727	0.965909090909091	1	1
3	chr11	69700001	69710000	chr11	69620001	69630000	84	4	86	2	0.954545454545455	0.977272727272727	0.682049053269011	0.767305184927637
4	chr11	69710001	69720000	chr11	69610001	69620000	81	7	86	2	0.920454545454545	0.977272727272727	0.168341917145362	0.216439607758322
5	chr11	69720001	69730000	chr11	69600001	69610000	78	10	85	3	0.886363636363636	0.965909090909091	0.0803624015988457	0.120543602398269
6	chr11	69730001	69740000	chr11	69590001	69600000	78	10	85	3	0.886363636363636	0.965909090909091	0.0803624015988457	0.120543602398269
7	chr11	69740001	69750000	chr11	69580001	69590000	76	12	85	3	0.863636363636364	0.965909090909091	0.0278173847607028	0.0771187513991777
8	chr11	69750001	69760000	chr11	69570001	69580000	75	13	85	3	0.852272727272727	0.965909090909091	0.0158818392730517	0.0771187513991777
9	chr11	69760001	69770000	chr11	69560001	69570000	75	13	84	4	0.852272727272727	0.954545454545455	0.0385593756995889	0.0771187513991777
10	chr11	69770001	69780000	chr11	69550001	69560000	74	14	84	4	0.840909090909091	0.954545454545455	0.0228924564847388	0.0771187513991777
11	chr11	69780001	69790000	chr11	69540001	69550000	73	15	84	4	0.829545454545455	0.954545454545455	0.0133308195317336	0.0771187513991777
12	chr11	69790001	69800000	chr11	69530001	69540000	71	17	83	5	0.806818181818182	0.943181818181818	0.0107976750231964	0.0771187513991777
13	chr11	69800001	69810000	chr11	69520001	69530000	71	17	82	6	0.806818181818182	0.931818181818182	0.0236716845010538	0.0771187513991777
14	chr11	69810001	69820000	chr11	69510001	69520000	69	19	80	8	0.784090909090909	0.909090909090909	0.0350415184503913	0.0771187513991777
15	chr11	69820001	69830000	chr11	69500001	69510000	67	21	78	10	0.761363636363636	0.886363636363636	0.0466347546572074	0.0839425583829734
16	chr11	69830001	69840000	chr11	69490001	69500000	66	22	78	10	0.75	0.886363636363636	0.0304707231131641	0.0771187513991777
17	chr11	69840001	69850000	chr11	69480001	69490000	65	23	74	14	0.738636363636364	0.840909090909091	0.138240449631333	0.191409853335692
18	chr11	69850001	69860000	chr11	69470001	69480000	65	23	73	15	0.738636363636364	0.829545454545455	0.199330818991353	0.239196982789624
