pair_index	right_chr	right_start	right_end	left_chr	left_start	left_end	right_samples_amped	right_samples_non_amped	left_samples_amped	left_samples_non_amped	right_AmpFreq	left_AmpFreq	Fisher_pval	qval
1	chr8	38660001	38670000	chr8	38530001	38540000	34	0	26	8	1	0.764705882352941	0.00491238636577516	0.0567113712923127
2	chr8	38670001	38680000	chr8	38520001	38530000	33	1	26	8	0.970588235294118	0.764705882352941	0.0271818712239559	0.0582468669084769
3	chr8	38680001	38690000	chr8	38510001	38520000	33	1	27	7	0.970588235294118	0.794117647058824	0.0544001304950657	0.09600023028541
4	chr8	38690001	38700000	chr8	38500001	38510000	33	1	27	7	0.970588235294118	0.794117647058824	0.0544001304950657	0.09600023028541
5	chr8	38700001	38710000	chr8	38490001	38500000	34	0	27	7	1	0.794117647058824	0.0110983543819365	0.0567113712923127
6	chr8	38710001	38720000	chr8	38480001	38490000	34	0	27	7	1	0.794117647058824	0.0110983543819365	0.0567113712923127
7	chr8	38720001	38730000	chr8	38470001	38480000	34	0	28	6	1	0.823529411764706	0.0245749275600022	0.0567113712923127
8	chr8	38730001	38740000	chr8	38460001	38470000	34	0	27	7	1	0.794117647058824	0.0110983543819365	0.0567113712923127
9	chr8	38740001	38750000	chr8	38450001	38460000	34	0	28	6	1	0.823529411764706	0.0245749275600022	0.0567113712923127
10	chr8	38750001	38760000	chr8	38440001	38450000	34	0	27	7	1	0.794117647058824	0.0110983543819365	0.0567113712923127
11	chr8	38760001	38770000	chr8	38430001	38440000	34	0	28	6	1	0.823529411764706	0.0245749275600022	0.0567113712923127
12	chr8	38770001	38780000	chr8	38420001	38430000	34	0	28	6	1	0.823529411764706	0.0245749275600022	0.0567113712923127
13	chr8	38780001	38790000	chr8	38410001	38420000	34	0	28	6	1	0.823529411764706	0.0245749275600022	0.0567113712923127
14	chr8	38790001	38800000	chr8	38400001	38410000	34	0	28	6	1	0.823529411764706	0.0245749275600022	0.0567113712923127
15	chr8	38800001	38810000	chr8	38390001	38400000	34	0	28	6	1	0.823529411764706	0.0245749275600022	0.0567113712923127
16	chr8	38810001	38820000	chr8	38380001	38390000	34	0	28	6	1	0.823529411764706	0.0245749275600022	0.0567113712923127
17	chr8	38820001	38830000	chr8	38370001	38380000	33	1	27	7	0.970588235294118	0.794117647058824	0.0544001304950657	0.09600023028541
18	chr8	38830001	38840000	chr8	38360001	38370000	32	2	27	7	0.941176470588235	0.794117647058824	0.14966403794395	0.195213962535587
19	chr8	38840001	38850000	chr8	38350001	38360000	32	2	27	7	0.941176470588235	0.794117647058824	0.14966403794395	0.195213962535587
20	chr8	38850001	38860000	chr8	38340001	38350000	32	2	26	8	0.941176470588235	0.764705882352941	0.083233032265309	0.138721720442182
21	chr8	38860001	38870000	chr8	38330001	38340000	31	3	26	8	0.911764705882353	0.764705882352941	0.18631562728389	0.232894534104862
22	chr8	38870001	38880000	chr8	38320001	38330000	30	4	25	9	0.882352941176471	0.735294117647059	0.216599368975204	0.259919242770244
23	chr8	38880001	38890000	chr8	38310001	38320000	30	4	24	10	0.882352941176471	0.705882352941177	0.132005115325087	0.188578736178696
24	chr8	38890001	38900000	chr8	38300001	38310000	30	4	24	10	0.882352941176471	0.705882352941177	0.132005115325087	0.188578736178696
25	chr8	38900001	38910000	chr8	38290001	38300000	30	4	24	10	0.882352941176471	0.705882352941177	0.132005115325087	0.188578736178696
26	chr8	38910001	38920000	chr8	38280001	38290000	29	5	24	10	0.852941176470588	0.705882352941177	0.241664333019683	0.268515925577425
27	chr8	38920001	38930000	chr8	38270001	38280000	29	5	24	10	0.852941176470588	0.705882352941177	0.241664333019683	0.268515925577425
28	chr8	38930001	38940000	chr8	38260001	38270000	28	6	24	10	0.823529411764706	0.705882352941177	0.391669866658516	0.391669866658516
29	chr8	38940001	38950000	chr8	38250001	38260000	28	6	24	10	0.823529411764706	0.705882352941177	0.391669866658516	0.391669866658516
30	chr8	38950001	38960000	chr8	38240001	38250000	28	6	24	10	0.823529411764706	0.705882352941177	0.391669866658516	0.391669866658516
