pair_index	right_chr	right_start	right_end	left_chr	left_start	left_end	right_samples_amped	right_samples_non_amped	left_samples_amped	left_samples_non_amped	right_AmpFreq	left_AmpFreq	Fisher_pval	qval
1	chr7	55380001	55390000	chr7	55160001	55170000	9	0	8	1	1	0.888888888888889	1	1
2	chr7	55390001	55400000	chr7	55150001	55160000	9	0	8	1	1	0.888888888888889	1	1
3	chr7	55400001	55410000	chr7	55140001	55150000	9	0	7	2	1	0.777777777777778	0.470588235294118	0.556149732620321
4	chr7	55410001	55420000	chr7	55130001	55140000	9	0	7	2	1	0.777777777777778	0.470588235294118	0.556149732620321
5	chr7	55420001	55430000	chr7	55120001	55130000	9	0	7	2	1	0.777777777777778	0.470588235294118	0.556149732620321
6	chr7	55430001	55440000	chr7	55110001	55120000	9	0	6	3	1	0.666666666666667	0.205882352941176	0.382352941176471
7	chr7	55440001	55450000	chr7	55100001	55110000	9	0	6	3	1	0.666666666666667	0.205882352941176	0.382352941176471
8	chr7	55450001	55460000	chr7	55090001	55100000	9	0	6	3	1	0.666666666666667	0.205882352941176	0.382352941176471
9	chr7	55460001	55470000	chr7	55080001	55090000	9	0	5	4	1	0.555555555555556	0.0823529411764706	0.267647058823529
10	chr7	55470001	55480000	chr7	55070001	55080000	9	0	5	4	1	0.555555555555556	0.0823529411764706	0.267647058823529
11	chr7	55480001	55490000	chr7	55060001	55070000	9	0	5	4	1	0.555555555555556	0.0823529411764706	0.267647058823529
12	chr7	55490001	55500000	chr7	55050001	55060000	9	0	5	4	1	0.555555555555556	0.0823529411764706	0.267647058823529
13	chr7	55500001	55510000	chr7	55040001	55050000	8	1	5	4	0.888888888888889	0.555555555555556	0.294117647058823	0.477941176470588
